txn_ref,occurred_at,type,issue_type,order_code,item_code,issue_pool,qty,uom,rate,entered_by,authorized_by,remarks,colour_ref,batch_ref,external_ref
TXN-260827-131,2026-08-27 03:35:35,issue,bom,BS-US-2479,2214,Paint Mixing,-40.01,Gram,9.04,malikhashir85858@gmail.com,sir yasir,Variance: due to 2 pantone shades .....mixing against pantone7580c is issued | Re-issue: due to 2 pantone,PANTONE 7580C,,
TXN-260827-132,2026-08-27 03:35:35,issue,bom,BS-US-2479,2352,Paint Harnder,-250,Gram,5.81,malikhashir85858@gmail.com,sir yasir,Variance: due to 2 pantone shades .....mixing against pantone7580c is issued | Re-issue: due to 2 pantone,,,
TXN-260827-133,2026-08-27 03:35:35,issue,bom,BS-US-2479,2195,Paint Matt Agent,-150,Gram,4.86,malikhashir85858@gmail.com,sir yasir,Variance: due to 2 pantone shades .....mixing against pantone7580c is issued | Re-issue: due to 2 pantone,,,
TXN-260827-134,2026-08-27 03:35:35,issue,bom,BS-US-2479,2355,Paint Thinner,-100,Gram,1.67,malikhashir85858@gmail.com,sir yasir,Variance: due to 2 pantone shades .....mixing against pantone7580c is issued | Re-issue: due to 2 pantone,,,
TXN-260827-135,2026-08-27 03:35:35,issue,bom,BS-US-2479,2247,Paint Binder,-100,Gram,7.41,malikhashir85858@gmail.com,sir yasir,Variance: due to 2 pantone shades .....mixing against pantone7580c is issued | Re-issue: due to 2 pantone,,,
TXN-260827-136,2026-08-27 03:38:12,issue,bom,BS-US-2479,2350,Paint Mixing,-900,Gram,6.44,malikhashir85858@gmail.com,sir yasir,Variance: due to 2 pantone shades .....mixing against pantone7580c is issued | Re-issue: due to 3 differnt color,,,
TXN-260827-137,2026-08-27 03:38:12,issue,bom,BS-US-2479,2352,Paint Harnder,-450,Gram,5.81,malikhashir85858@gmail.com,sir yasir,Variance: due to 2 pantone shades .....mixing against pantone7580c is issued | Re-issue: due to 3 differnt color,,,
TXN-260827-138,2026-08-27 03:38:12,issue,bom,BS-US-2479,2354,Paint Matt Agent,-270,Gram,5.19,malikhashir85858@gmail.com,sir yasir,Variance: due to 2 pantone shades .....mixing against pantone7580c is issued | Re-issue: due to 3 differnt color,,,
TXN-260827-139,2026-08-27 03:38:12,issue,bom,BS-US-2479,2355,Paint Thinner,-200,Gram,1.67,malikhashir85858@gmail.com,sir yasir,Variance: due to 2 pantone shades .....mixing against pantone7580c is issued | Re-issue: due to 3 differnt color,,,
TXN-260827-140,2026-08-27 03:38:12,issue,bom,BS-US-2479,2247,Paint Binder,-180,Gram,7.41,malikhashir85858@gmail.com,sir yasir,Variance: due to 2 pantone shades .....mixing against pantone7580c is issued | Re-issue: due to 3 differnt color,,,
TXN-260827-141,2026-08-27 03:41:43,issue,rework,BS-SM-16230,2764,Paint Mixing,-50,Gram,6.04,malikhashir85858@gmail.com,hasir,Repaint: shower for 2 letters,,,
TXN-260827-142,2026-08-27 03:41:43,issue,rework,BS-SM-16230,2354,Paint Matt Agent,-25,Gram,5.19,malikhashir85858@gmail.com,hasir,Repaint: shower for 2 letters,,,
TXN-260827-143,2026-08-27 03:41:43,issue,rework,BS-SM-16230,2352,Paint Harnder,-25,Gram,5.81,malikhashir85858@gmail.com,hasir,Repaint: shower for 2 letters,,,
TXN-260827-144,2026-08-27 03:41:43,issue,rework,BS-SM-16230,2355,Paint Thinner,-20,Gram,1.67,malikhashir85858@gmail.com,hasir,Repaint: shower for 2 letters,,,
TXN-260827-145,2026-08-27 04:16:49,issue,bom,BS-ET-16391,2764,Paint Mixing,-100,Gram,6.04,malikhashir85858@gmail.com,,Variance: sign done,,,
TXN-260827-146,2026-08-27 04:16:49,issue,bom,BS-ET-16391,2354,Paint Matt Agent,-50,Gram,5.19,malikhashir85858@gmail.com,,Variance: sign done,,,
TXN-260827-147,2026-08-27 04:16:49,issue,bom,BS-ET-16391,2352,Paint Harnder,-50,Gram,5.81,malikhashir85858@gmail.com,,Variance: sign done,,,
TXN-260827-148,2026-08-27 04:16:49,issue,bom,BS-ET-16391,2355,Paint Thinner,-40,Gram,1.67,malikhashir85858@gmail.com,,Variance: sign done,,,
TXN-260827-149,2026-08-27 04:27:14,issue,bom,BS-ET-16239,2214,Paint Mixing,-80,Gram,9.04,malikhashir85858@gmail.com,,Variance: due to 2 shades,PANTONE 7527 C,,
TXN-260827-150,2026-08-27 04:27:14,issue,bom,BS-ET-16239,2350,Paint Mixing,-40,Gram,6.44,malikhashir85858@gmail.com,,Variance: due to 2 shades,PANTONE 7527 C,,
TXN-260827-151,2026-08-27 04:27:14,issue,bom,BS-ET-16239,2257,Paint Mixing,-5,Gram,9.2,malikhashir85858@gmail.com,,Variance: due to 2 shades,PANTONE 7527 C,,
TXN-260827-152,2026-08-27 04:27:14,issue,bom,BS-ET-16239,2429,Paint Mixing,-5,Gram,16.09,malikhashir85858@gmail.com,,Variance: due to 2 shades,PANTONE 7527 C,,
TXN-260827-153,2026-08-27 04:27:14,issue,bom,BS-ET-16239,2354,Paint Matt Agent,-65,Gram,5.19,malikhashir85858@gmail.com,,Variance: due to 2 shades,,,
TXN-260827-154,2026-08-27 04:27:14,issue,bom,BS-ET-16239,2352,Paint Harnder,-65,Gram,5.81,malikhashir85858@gmail.com,,Variance: due to 2 shades,,,
TXN-260827-155,2026-08-27 04:27:14,issue,bom,BS-ET-16239,2355,Paint Thinner,-50,Gram,1.67,malikhashir85858@gmail.com,,Variance: due to 2 shades,,,
TXN-260827-156,2026-08-27 04:34:53,issue,bom,BS-ET-16239,2350,Paint Mixing,-80,Gram,6.44,malikhashir85858@gmail.com,hashir,Variance: due to 2 shades / bom issue | Re-issue: 2 pantones,PANTONE 7533 C,,
TXN-260827-157,2026-08-27 04:34:53,issue,bom,BS-ET-16239,2764,Paint Mixing,-10,Gram,6.04,malikhashir85858@gmail.com,hashir,Variance: due to 2 shades / bom issue | Re-issue: 2 pantones,PANTONE 7533 C,,
TXN-260827-158,2026-08-27 04:34:53,issue,bom,BS-ET-16239,2253,Paint Mixing,-2,Gram,9.04,malikhashir85858@gmail.com,hashir,Variance: due to 2 shades / bom issue | Re-issue: 2 pantones,PANTONE 7533 C,,
TXN-260827-159,2026-08-27 04:34:53,issue,bom,BS-ET-16239,2272,Paint Mixing,-2,Gram,9.04,malikhashir85858@gmail.com,hashir,Variance: due to 2 shades / bom issue | Re-issue: 2 pantones,PANTONE 7533 C,,
TXN-260827-160,2026-08-27 04:34:53,issue,bom,BS-ET-16239,2271,Paint Mixing,-4,Gram,9.04,malikhashir85858@gmail.com,hashir,Variance: due to 2 shades / bom issue | Re-issue: 2 pantones,PANTONE 7533 C,,
TXN-260827-161,2026-08-27 04:34:53,issue,bom,BS-ET-16239,2241,Paint Mixing,-10,Gram,9.04,malikhashir85858@gmail.com,hashir,Variance: due to 2 shades / bom issue | Re-issue: 2 pantones,PANTONE 7533 C,,
TXN-260827-162,2026-08-27 04:34:53,issue,bom,BS-ET-16239,2354,Paint Matt Agent,-52,Gram,5.19,malikhashir85858@gmail.com,hashir,Variance: due to 2 shades / bom issue | Re-issue: 2 pantones,,,
TXN-260827-163,2026-08-27 04:34:53,issue,bom,BS-ET-16239,2352,Paint Harnder,-52,Gram,5.81,malikhashir85858@gmail.com,hashir,Variance: due to 2 shades / bom issue | Re-issue: 2 pantones,,,
TXN-260827-164,2026-08-27 04:34:53,issue,bom,BS-ET-16239,2355,Paint Thinner,-45,Gram,1.67,malikhashir85858@gmail.com,hashir,Variance: due to 2 shades / bom issue | Re-issue: 2 pantones,,,
TXN-260827-165,2026-08-27 04:37:06,issue,bom,BS-LHET-341,2764,Paint Mixing,-40,Gram,6.04,malikhashir85858@gmail.com,,Variance: sign done,,,
TXN-260827-166,2026-08-27 04:37:06,issue,bom,BS-LHET-341,2350,Paint Mixing,-20,Gram,6.44,malikhashir85858@gmail.com,,Variance: sign done,,,
TXN-260827-167,2026-08-27 04:37:06,issue,bom,BS-LHET-341,2354,Paint Matt Agent,-30,Gram,5.19,malikhashir85858@gmail.com,,Variance: sign done,,,
TXN-260827-168,2026-08-27 04:37:06,issue,bom,BS-LHET-341,2352,Paint Harnder,-30,Gram,5.81,malikhashir85858@gmail.com,,Variance: sign done,,,
TXN-260827-169,2026-08-27 04:37:06,issue,bom,BS-LHET-341,2355,Paint Thinner,-23,Gram,1.67,malikhashir85858@gmail.com,,Variance: sign done,,,
TXN-260827-170,2026-08-27 04:40:05,issue,rework,BS-ET-16172-A,2764,Paint Mixing,-50,Gram,6.04,malikhashir85858@gmail.com,hashir,Repaint: rod paint,,,
TXN-260827-171,2026-08-27 04:40:05,issue,rework,BS-ET-16172-A,2354,Paint Matt Agent,-25,Gram,5.19,malikhashir85858@gmail.com,hashir,Repaint: rod paint,,,
TXN-260827-172,2026-08-27 04:40:05,issue,rework,BS-ET-16172-A,2352,Paint Harnder,-50,Gram,5.81,malikhashir85858@gmail.com,hashir,Repaint: rod paint,,,
TXN-260827-173,2026-08-27 04:40:05,issue,rework,BS-ET-16172-A,2355,Paint Thinner,-25,Gram,1.67,malikhashir85858@gmail.com,hashir,Repaint: rod paint,,,
TXN-260827-174,2026-08-27 04:41:56,issue,rework,BS-QS-16421-B,2764,Paint Mixing,-30,Gram,6.04,malikhashir85858@gmail.com,hashir,Repaint: shower,,,
TXN-260827-175,2026-08-27 04:41:56,issue,rework,BS-QS-16421-B,2354,Paint Matt Agent,-15,Gram,5.19,malikhashir85858@gmail.com,hashir,Repaint: shower,,,
TXN-260827-176,2026-08-27 04:41:56,issue,rework,BS-QS-16421-B,2352,Paint Harnder,-15,Gram,5.81,malikhashir85858@gmail.com,hashir,Repaint: shower,,,
TXN-260827-177,2026-08-27 04:41:56,issue,rework,BS-QS-16421-B,2355,Paint Thinner,-20,Gram,1.67,malikhashir85858@gmail.com,hashir,Repaint: shower,,,
TXN-260827-178,2026-08-27 04:51:56,receipt,,,17,Paint Thinner,30,Gram,0.3,malikhashir85858@gmail.com,,,,,2908
TXN-260827-179,2026-08-27 04:51:56,receipt,,,2764,Paint Mixing,900,Gram,6.04,malikhashir85858@gmail.com,,,,,2908
TXN-260827-180,2026-08-27 04:51:56,receipt,,,2525,Paint Mixing,900,Gram,1.97,malikhashir85858@gmail.com,,,,,2908
TXN-260827-181,2026-08-27 04:51:56,receipt,,,239,Miscellaneous,10,Nos,,malikhashir85858@gmail.com,,,,,2908
TXN-260827-182,2026-08-27 04:51:56,receipt,,,233,Miscellaneous,900,Nos,,malikhashir85858@gmail.com,,,,,2908
TXN-260827-183,2026-08-27 04:51:56,receipt,,,2352,Paint Harnder,1800,Gram,5.81,malikhashir85858@gmail.com,,,,,2908
TXN-260827-184,2026-08-27 04:51:56,receipt,,,2158,Epoxy Set,5900,Gram,7.79,malikhashir85858@gmail.com,,,,,2908
TXN-260827-185,2026-08-27 04:51:56,receipt,,,1145,Epoxy Set,900,Gram,3.8,malikhashir85858@gmail.com,,,,,2908
TXN-260827-186,2026-08-27 04:51:56,receipt,,,937,Miscellaneous,10,Nos,,malikhashir85858@gmail.com,,,,,2908
TXN-260827-187,2026-08-27 04:54:17,issue,rework,BS-LHET-338,2350,Paint Mixing,-100,Gram,6.44,malikhashir85858@gmail.com,hashir,Repaint: white shower,,,
TXN-260827-188,2026-08-27 04:54:17,issue,rework,BS-LHET-338,2354,Paint Matt Agent,-50,Gram,5.19,malikhashir85858@gmail.com,hashir,Repaint: white shower,,,
TXN-260827-189,2026-08-27 04:54:17,issue,rework,BS-LHET-338,2352,Paint Harnder,-50,Gram,5.81,malikhashir85858@gmail.com,hashir,Repaint: white shower,,,
TXN-260827-190,2026-08-27 04:54:17,issue,rework,BS-LHET-338,2355,Paint Thinner,-40,Gram,1.67,malikhashir85858@gmail.com,hashir,Repaint: white shower,,,
TXN-260827-191,2026-08-27 05:10:52,issue,rework,BS-US-2518,727,Paint Harnder,-150,Gram,3.2,malikhashir85858@gmail.com,hashir,Repaint: for wood sign lacker,,,
TXN-260827-192,2026-08-27 05:40:38,receipt,,,804,Paint Thinner,3100,Gram,0.56,malikhashir85858@gmail.com,,,,,2911
TXN-260827-193,2026-08-27 05:40:38,receipt,,,937,Miscellaneous,20,Nos,,malikhashir85858@gmail.com,,,,,2911
TXN-260827-194,2026-08-27 05:40:38,receipt,,,56,Miscellaneous,3,Nos,,malikhashir85858@gmail.com,,,,,2911
TXN-260827-195,2026-08-27 05:40:38,receipt,,,1053,Miscellaneous,5,Nos,,malikhashir85858@gmail.com,,,,,2911
TXN-260827-196,2026-08-27 05:40:38,receipt,,,169,Miscellaneous,2,Nos,,malikhashir85858@gmail.com,,,,,2911
TXN-260827-197,2026-08-27 05:40:38,receipt,,,388,Miscellaneous,1,Nos,,malikhashir85858@gmail.com,,,,,2911
TXN-260827-198,2026-08-27 05:40:38,receipt,,,428,Miscellaneous,18,Nos,,malikhashir85858@gmail.com,,,,,2911
TXN-260827-199,2026-08-27 05:40:38,receipt,,,372,Epoxy Set,900,Gram,1.44,malikhashir85858@gmail.com,,,,,2911
TXN-260827-200,2026-08-27 05:40:38,receipt,,,246,Miscellaneous,2000,Nos,,malikhashir85858@gmail.com,,,,,2911
TXN-260828-201,2026-08-27 23:34:39,issue,bom,BS-SN-16398,2350,Paint Mixing,-400,Gram,6.44,malikhashir85858@gmail.com,,Variance: night sign,,,
TXN-260828-202,2026-08-27 23:34:39,issue,bom,BS-SN-16398,2354,Paint Matt Agent,-200,Gram,5.19,malikhashir85858@gmail.com,,Variance: night sign,,,
TXN-260828-203,2026-08-27 23:34:39,issue,bom,BS-SN-16398,2352,Paint Harnder,-200,Gram,5.81,malikhashir85858@gmail.com,,Variance: night sign,,,
TXN-260828-204,2026-08-27 23:34:39,issue,bom,BS-SN-16398,2355,Paint Thinner,-160,Gram,1.67,malikhashir85858@gmail.com,,Variance: night sign,,,
TXN-260828-205,2026-08-27 23:34:39,issue,bom,BS-SN-16398,1053,Miscellaneous,-1,Nos,,malikhashir85858@gmail.com,,Variance: night sign,,,
TXN-260828-206,2026-08-27 23:34:39,issue,bom,BS-SN-16398,56,Miscellaneous,-2,Nos,,malikhashir85858@gmail.com,,Variance: night sign,,,
TXN-260828-207,2026-08-27 23:34:39,issue,bom,BS-SN-16398,937,Miscellaneous,-2,Nos,,malikhashir85858@gmail.com,,Variance: night sign,,,
TXN-260828-208,2026-08-27 23:34:39,issue,bom,BS-SN-16398,246,Miscellaneous,-200,Nos,,malikhashir85858@gmail.com,,Variance: night sign,,,
TXN-260828-209,2026-08-27 23:38:46,issue,bom,BS-LHET-350,2350,Paint Mixing,-150,Gram,6.44,malikhashir85858@gmail.com,,Variance: night sign,,,
TXN-260828-210,2026-08-27 23:38:46,issue,bom,BS-LHET-350,2354,Paint Matt Agent,-60,Gram,5.19,malikhashir85858@gmail.com,,Variance: night sign,,,
TXN-260828-211,2026-08-27 23:38:46,issue,bom,BS-LHET-350,2352,Paint Harnder,-60,Gram,5.81,malikhashir85858@gmail.com,,Variance: night sign,,,
TXN-260828-212,2026-08-27 23:38:46,issue,bom,BS-LHET-350,2355,Paint Thinner,-50,Gram,1.67,malikhashir85858@gmail.com,,Variance: night sign,,,
TXN-260828-213,2026-08-27 23:38:46,issue,bom,BS-LHET-350,937,Miscellaneous,-2,Nos,,malikhashir85858@gmail.com,,Variance: night sign,,,
TXN-260828-214,2026-08-27 23:38:46,issue,bom,BS-LHET-350,1053,Miscellaneous,-2,Nos,,malikhashir85858@gmail.com,,Variance: night sign,,,
TXN-260828-215,2026-08-27 23:38:46,issue,bom,BS-LHET-350,53,Miscellaneous,-1,Nos,,malikhashir85858@gmail.com,,Variance: night sign,,,
TXN-260828-216,2026-08-28 00:06:19,issue,bom,BS-ET-16464,520,Paint Mixing,-100,Gram,7.4,malikhashir85858@gmail.com,,Variance: golden paint so no hardner and matt agent issued,,,
TXN-260828-217,2026-08-28 00:06:19,issue,bom,BS-ET-16464,2355,Paint Thinner,-100,Gram,1.67,malikhashir85858@gmail.com,,Variance: golden paint so no hardner and matt agent issued,,,
TXN-260828-218,2026-08-28 00:12:50,issue,bom,BS-LHET-349,372,Epoxy Set,-300,Gram,1.44,malikhashir85858@gmail.com,,Variance: thinner extra used due to 1k aster apply,,,
TXN-260828-219,2026-08-28 00:12:50,issue,bom,BS-LHET-349,2764,Paint Mixing,-50,Gram,6.04,malikhashir85858@gmail.com,,Variance: thinner extra used due to 1k aster apply,,,
TXN-260828-220,2026-08-28 00:12:50,issue,bom,BS-LHET-349,2350,Paint Mixing,-100,Gram,6.44,malikhashir85858@gmail.com,,Variance: thinner extra used due to 1k aster apply,,,
TXN-260828-221,2026-08-28 00:12:50,issue,bom,BS-LHET-349,2354,Paint Matt Agent,-75,Gram,5.19,malikhashir85858@gmail.com,,Variance: thinner extra used due to 1k aster apply,,,
TXN-260828-222,2026-08-28 00:12:50,issue,bom,BS-LHET-349,2352,Paint Harnder,-75,Gram,5.81,malikhashir85858@gmail.com,,Variance: thinner extra used due to 1k aster apply,,,
TXN-260828-223,2026-08-28 00:12:50,issue,bom,BS-LHET-349,2355,Paint Thinner,-100,Gram,1.67,malikhashir85858@gmail.com,,Variance: thinner extra used due to 1k aster apply,,,
TXN-260828-224,2026-08-28 00:27:40,issue,bom,BS-ET-16452,2245 / 2673,Paint Mixing,-50,Gram,9.75,malikhashir85858@gmail.com,,Variance: due to 2 shades pantone and black mixing againt pantone 202c is issued,PANTONE 202 C,,
TXN-260828-225,2026-08-28 00:27:40,issue,bom,BS-ET-16452,2239,Paint Mixing,-10,Gram,8.7,malikhashir85858@gmail.com,,Variance: due to 2 shades pantone and black mixing againt pantone 202c is issued,PANTONE 202 C,,
TXN-260828-226,2026-08-28 00:27:40,issue,bom,BS-ET-16452,2353,Paint Mixing,-30,Gram,12.42,malikhashir85858@gmail.com,,Variance: due to 2 shades pantone and black mixing againt pantone 202c is issued,PANTONE 202 C,,
TXN-260828-227,2026-08-28 00:27:40,issue,bom,BS-ET-16452,2754,Paint Mixing,-10,Gram,7.78,malikhashir85858@gmail.com,,Variance: due to 2 shades pantone and black mixing againt pantone 202c is issued,PANTONE 202 C,,
TXN-260828-228,2026-08-28 00:27:40,issue,bom,BS-ET-16452,2354,Paint Matt Agent,-50,Gram,5.19,malikhashir85858@gmail.com,,Variance: due to 2 shades pantone and black mixing againt pantone 202c is issued,,,
TXN-260828-229,2026-08-28 00:27:40,issue,bom,BS-ET-16452,2352,Paint Harnder,-50,Gram,5.81,malikhashir85858@gmail.com,,Variance: due to 2 shades pantone and black mixing againt pantone 202c is issued,,,
TXN-260828-230,2026-08-28 00:27:40,issue,bom,BS-ET-16452,2355,Paint Thinner,-40,Gram,1.67,malikhashir85858@gmail.com,,Variance: due to 2 shades pantone and black mixing againt pantone 202c is issued,,,
TXN-260828-231,2026-08-28 00:30:22,issue,bom,BS-ET-16452,2350,Paint Mixing,-50,Gram,6.44,malikhashir85858@gmail.com,hashir,Variance: due to bom issue variance against hardener and matt agent | Re-issue: due to 2 shades,,,
TXN-260828-232,2026-08-28 00:30:22,issue,bom,BS-ET-16452,2764,Paint Mixing,-50,Gram,6.04,malikhashir85858@gmail.com,hashir,Variance: due to bom issue variance against hardener and matt agent | Re-issue: due to 2 shades,,,
TXN-260828-233,2026-08-28 00:30:22,issue,bom,BS-ET-16452,2354,Paint Matt Agent,-50,Gram,5.19,malikhashir85858@gmail.com,hashir,Variance: due to bom issue variance against hardener and matt agent | Re-issue: due to 2 shades,,,
TXN-260828-234,2026-08-28 00:30:22,issue,bom,BS-ET-16452,2352,Paint Harnder,-50,Gram,5.81,malikhashir85858@gmail.com,hashir,Variance: due to bom issue variance against hardener and matt agent | Re-issue: due to 2 shades,,,
TXN-260828-235,2026-08-28 00:30:22,issue,bom,BS-ET-16452,2355,Paint Thinner,-40,Gram,1.67,malikhashir85858@gmail.com,hashir,Variance: due to bom issue variance against hardener and matt agent | Re-issue: due to 2 shades,,,
TXN-260828-236,2026-08-28 02:24:37,receipt,,,169,Miscellaneous,3,Nos,,malikhashir85858@gmail.com,,,,,2912
TXN-260828-237,2026-08-28 02:24:37,receipt,,,56,Miscellaneous,3,Nos,,malikhashir85858@gmail.com,,,,,2912
TXN-260828-238,2026-08-28 02:24:37,receipt,,,937,Miscellaneous,10,Nos,,malikhashir85858@gmail.com,,,,,2912
TXN-260828-239,2026-08-28 02:24:37,receipt,,,804,Paint Thinner,3000,Gram,0.56,malikhashir85858@gmail.com,,,,,2912
TXN-260828-240,2026-08-28 02:24:37,receipt,,,2352,Paint Harnder,900,Gram,5.81,malikhashir85858@gmail.com,,,,,2912
TXN-260828-241,2026-08-28 02:24:37,receipt,,,285,Miscellaneous,10,Nos,,malikhashir85858@gmail.com,,,,,2912
TXN-260828-242,2026-08-28 02:24:37,receipt,,,239,Miscellaneous,10,Nos,,malikhashir85858@gmail.com,,,,,2912
TXN-260828-243,2026-08-28 02:24:37,receipt,,,2354,Paint Matt Agent,900,Gram,5.19,malikhashir85858@gmail.com,,,,,2912
TXN-260828-244,2026-08-28 02:31:34,issue,bom,BS-ET-15901 B,372,Epoxy Set,-300,Gram,1.44,malikhashir85858@gmail.com,,Variance: SIGN DONE,,,
TXN-260828-245,2026-08-28 02:31:34,issue,bom,BS-ET-15901 B,2764,Paint Mixing,-55,Gram,6.04,malikhashir85858@gmail.com,,Variance: SIGN DONE,,,
TXN-260828-246,2026-08-28 02:31:34,issue,bom,BS-ET-15901 B,2354,Paint Matt Agent,-28,Gram,5.19,malikhashir85858@gmail.com,,Variance: SIGN DONE,,,
TXN-260828-247,2026-08-28 02:31:34,issue,bom,BS-ET-15901 B,2352,Paint Harnder,-28,Gram,5.81,malikhashir85858@gmail.com,,Variance: SIGN DONE,,,
TXN-260828-248,2026-08-28 02:31:34,issue,bom,BS-ET-15901 B,2355,Paint Thinner,-25,Gram,1.67,malikhashir85858@gmail.com,,Variance: SIGN DONE,,,
TXN-260828-249,2026-08-28 02:31:34,issue,bom,BS-ET-15901 B,937,Miscellaneous,-5,Nos,,malikhashir85858@gmail.com,,Variance: SIGN DONE,,,
TXN-260828-250,2026-08-28 02:31:34,issue,bom,BS-ET-15901 B,1053,Miscellaneous,-1,Nos,,malikhashir85858@gmail.com,,Variance: SIGN DONE,,,
TXN-260828-251,2026-08-28 02:35:25,issue,bom,BS-ET-16417,372,Epoxy Set,-300,Gram,1.44,malikhashir85858@gmail.com,,Variance: SIGN DONE,,,
TXN-260828-252,2026-08-28 02:35:25,issue,bom,BS-ET-16417,2764,Paint Mixing,-55,Gram,6.04,malikhashir85858@gmail.com,,Variance: SIGN DONE,,,
TXN-260828-253,2026-08-28 02:35:25,issue,bom,BS-ET-16417,2354,Paint Matt Agent,-28,Gram,5.19,malikhashir85858@gmail.com,,Variance: SIGN DONE,,,
TXN-260828-254,2026-08-28 02:35:25,issue,bom,BS-ET-16417,2352,Paint Harnder,-28,Gram,5.81,malikhashir85858@gmail.com,,Variance: SIGN DONE,,,
TXN-260828-255,2026-08-28 02:35:25,issue,bom,BS-ET-16417,2355,Paint Thinner,-25,Gram,1.67,malikhashir85858@gmail.com,,Variance: SIGN DONE,,,
TXN-260828-256,2026-08-28 02:35:25,issue,bom,BS-ET-16417,937,Miscellaneous,-5,Nos,,malikhashir85858@gmail.com,,Variance: SIGN DONE,,,
TXN-260828-257,2026-08-28 02:35:25,issue,bom,BS-ET-16417,285,Miscellaneous,-2,Nos,,malikhashir85858@gmail.com,,Variance: SIGN DONE,,,
TXN-260828-258,2026-08-28 02:35:25,issue,bom,BS-ET-16417,169,Miscellaneous,-2,Nos,,malikhashir85858@gmail.com,,Variance: SIGN DONE,,,
TXN-260828-259,2026-08-28 02:35:25,issue,bom,BS-ET-16417,246,Miscellaneous,-150,Nos,,malikhashir85858@gmail.com,,Variance: SIGN DONE,,,
TXN-260828-260,2026-08-28 02:38:29,issue,bom,BS-SM-16312,372,Epoxy Set,-300,Gram,1.44,malikhashir85858@gmail.com,,Variance: SIGN DONE,,,
TXN-260828-261,2026-08-28 02:38:29,issue,bom,BS-SM-16312,2764,Paint Mixing,-85,Gram,6.04,malikhashir85858@gmail.com,,Variance: SIGN DONE,,,
TXN-260828-262,2026-08-28 02:38:29,issue,bom,BS-SM-16312,2354,Paint Matt Agent,-40,Gram,5.19,malikhashir85858@gmail.com,,Variance: SIGN DONE,,,
TXN-260828-263,2026-08-28 02:38:29,issue,bom,BS-SM-16312,2352,Paint Harnder,-40,Gram,5.81,malikhashir85858@gmail.com,,Variance: SIGN DONE,,,
TXN-260828-264,2026-08-28 02:38:29,issue,bom,BS-SM-16312,2355,Paint Thinner,-35,Gram,1.67,malikhashir85858@gmail.com,,Variance: SIGN DONE,,,
TXN-260828-265,2026-08-28 02:38:29,issue,bom,BS-SM-16312,937,Miscellaneous,-5,Nos,,malikhashir85858@gmail.com,,Variance: SIGN DONE,,,
TXN-260828-266,2026-08-28 02:38:29,issue,bom,BS-SM-16312,1053,Miscellaneous,-2,Nos,,malikhashir85858@gmail.com,,Variance: SIGN DONE,,,
TXN-260828-267,2026-08-28 02:38:29,issue,bom,BS-SM-16312,239,Miscellaneous,-2,Nos,,malikhashir85858@gmail.com,,Variance: SIGN DONE,,,
TXN-260828-268,2026-08-28 02:38:29,issue,bom,BS-SM-16312,285,Miscellaneous,-1,Nos,,malikhashir85858@gmail.com,,Variance: SIGN DONE,,,
TXN-260828-269,2026-08-28 02:38:29,issue,bom,BS-SM-16312,169,Miscellaneous,-1,Nos,,malikhashir85858@gmail.com,,Variance: SIGN DONE,,,
TXN-260828-270,2026-08-28 02:38:29,issue,bom,BS-SM-16312,428,Miscellaneous,-4,Nos,,malikhashir85858@gmail.com,,Variance: SIGN DONE,,,
TXN-260828-271,2026-08-28 02:38:44,issue,bom,BS-SM-16312,372,Epoxy Set,-300,Gram,1.44,malikhashir85858@gmail.com,,Variance: SIGN DONE,,,
TXN-260828-272,2026-08-28 02:38:44,issue,bom,BS-SM-16312,2764,Paint Mixing,-85,Gram,6.04,malikhashir85858@gmail.com,,Variance: SIGN DONE,,,
TXN-260828-273,2026-08-28 02:38:44,issue,bom,BS-SM-16312,2354,Paint Matt Agent,-40,Gram,5.19,malikhashir85858@gmail.com,,Variance: SIGN DONE,,,
TXN-260828-274,2026-08-28 02:38:44,issue,bom,BS-SM-16312,2352,Paint Harnder,-40,Gram,5.81,malikhashir85858@gmail.com,,Variance: SIGN DONE,,,
TXN-260828-275,2026-08-28 02:38:44,issue,bom,BS-SM-16312,2355,Paint Thinner,-35,Gram,1.67,malikhashir85858@gmail.com,,Variance: SIGN DONE,,,
TXN-260828-276,2026-08-28 02:38:44,issue,bom,BS-SM-16312,937,Miscellaneous,-5,Nos,,malikhashir85858@gmail.com,,Variance: SIGN DONE,,,
TXN-260828-277,2026-08-28 02:38:44,issue,bom,BS-SM-16312,1053,Miscellaneous,-2,Nos,,malikhashir85858@gmail.com,,Variance: SIGN DONE,,,
TXN-260828-278,2026-08-28 02:38:44,issue,bom,BS-SM-16312,239,Miscellaneous,-2,Nos,,malikhashir85858@gmail.com,,Variance: SIGN DONE,,,
TXN-260828-279,2026-08-28 02:38:44,issue,bom,BS-SM-16312,285,Miscellaneous,-1,Nos,,malikhashir85858@gmail.com,,Variance: SIGN DONE,,,
TXN-260828-280,2026-08-28 02:38:44,issue,bom,BS-SM-16312,169,Miscellaneous,-1,Nos,,malikhashir85858@gmail.com,,Variance: SIGN DONE,,,
TXN-260828-281,2026-08-28 02:38:44,issue,bom,BS-SM-16312,428,Miscellaneous,-4,Nos,,malikhashir85858@gmail.com,,Variance: SIGN DONE,,,
TXN-260828-282,2026-08-28 02:41:15,issue,bom,BS-ET-16455,372,Epoxy Set,-300,Gram,1.44,malikhashir85858@gmail.com,,Variance: SIGN DONE,,,
